company_name,website,region,city,company_size,segment,transport_domain,visible_driver_need,job_ads_url,license_mentions,YKB_mentions,driver_card_mentions,urgency_signal,contact_email,phone,LinkedIn,decision_maker_name,decision_maker_role,procurement_page,supplier_requirements_url,barrier_level,barrier_notes,pilot_accessibility_score,opportunity_score,recommended_entry_point,next_action,research_status,last_checked_date,source_notes
Logeco AB,not_found,stockholm,Stockholm,small,A,schakt_bygg;distribution,yes,https://se.indeed.com/q-ce-chauff%C3%B6r-l-stockholms-l%C3%A4n-jobb.html,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Building material delivery to construction projects in Stockholm. C driver. No web presence found.,45,60,Find contact via allabolag.se.,Look up allabolag.se for owner and phone,partial,2026-05-10,Source: Indeed Stockholm C driver listings. Building material delivery. C license role.
EMA Bilcenter AB,not_found,stockholm,Haninge,small,A,tipp;schakt_bygg,yes,not_found,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Haninge tippbil/dump truck. C driver. Construction sector. No web presence confirmed.,42,57,Find via allabolag.se for phone.,Look up allabolag.se contact,partial,2026-05-10,Source: Indeed Stockholm county C driver listings. Tippbil in Haninge.
Edvardssons Last och Schakt AB,https://fmbcentral.se,stockholm,Ekerö,small,A/E,tipp;schakt_bygg,yes,not_found,C;CE,yes,not_found,multiple_ads,"Marika@fmbcentral.se",08-839190,not_found,Marika,admin_or_owner,none,none_found,low,"Established schakt/anläggning åkeri. C and CE + YKB required. Direct email and phone found. Growing — appears in multiple job searches.",80,80,Email Marika@fmbcentral.se. Reference C+CE+YKB schakt ad. Zero-risk pilot.,Send Template A to Marika@fmbcentral.se referencing schakt/tippbil driver ads,partial,2026-05-10,Source: Stockholm CE/C job search. C + CE + YKB required. Established Ekerö åkeri. Email + phone confirmed.
Michael Frenning & Son Åkeri AB,not_found,malardalen,Västerås,small,A,fjarrtransport,yes,not_found,CE,not_found,not_found,single_ad,jobb.teamfrenning@hotmail.com,not_found,not_found,Frenning family,owner,none,none_found,low,"Family åkeri. CE fjärr summer positions. Outside Stockholm — lower regional fit. Direct job email found.",55,55,Email jobb.teamfrenning@hotmail.com to gauge pilot interest.,Email to gauge pilot interest for summer CE fjärr drivers,partial,2026-05-10,Source: Arbetsförmedlingen CE fjärr search. CE summer fjärrtransport. Västerås base.
Canoil Transport AB,https://canoil.se,stockholm,Södertälje,small,A,tanker;adr,yes,not_found,CE,yes,yes,single_ad,tf@canoil.se,0707771059,not_found,not_found,transport_manager,none,none_found,low,"CE tanker + ADR + YKB + förarkort. All three qualification signals present. Direct email + phone confirmed. Södertälje base.",85,82,Email tf@canoil.se. Lead with tanker+ADR qualified CE driver shortlist.,Find DM name. Send Template A to tf@canoil.se.,partial,2026-05-10,Source: Transport SME research. CE + YKB + förarkort + ADR. canoil.se. tf@canoil.se + 0707771059 confirmed.
V.P.D Transport AB,not_found,stockholm,Södertälje,small,A,distribution,yes,https://vakanser.se/jobb/erfaren+c-chauffor+sokes+for+distributionskorning+i+stockholm/,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,"Distribution operator, Södertälje base. Seeking experienced C driver for Stockholm distribution routes. No direct contact found.",45,58,Find via allabolag.se.,Look up allabolag.se for owner contact,partial,2026-05-10,Source: Vakanser.se ad for C distribution. Stockholm routes from Södertälje.
Sjölander Maskintransport (DKLBC AB),not_found,stockholm,Stockholm,small,A,kran;ekipage,yes,not_found,CE,yes,not_found,single_ad,maskintransport@sjolander.se,08-895400,not_found,not_found,owner,none,none_found,low,"CE kran + YKB. Direct email and phone confirmed. Stockholm base. Specialty kran transport.",78,78,Email maskintransport@sjolander.se. Reference CE+YKB kran drivers.,Find DM name. Send inquiry to maskintransport@sjolander.se.,partial,2026-05-10,Source: Stockholm CE kran search. CE + YKB kran. Email + phone confirmed.
Haninge Åkeri AB,https://haninge-akeri.se,stockholm,Haninge,small,A/E,kran;tipp;avfall,yes,https://haninge-akeri.se,CE,yes,not_found,multiple_ads,info@haninge-akeri.se,08-504-102-60,not_found,Joachim Ytterstene,CEO,none,none_found,low,"CEO name confirmed. Website + email + phone found. CE kran/tipp/container/återvinning. Multiple service areas — recurring driver needs. Best-documented target in list.",90,88,Email info@haninge-akeri.se or find direct email for Joachim Ytterstene. Zero-risk shortlist offer.,Search LinkedIn for Joachim Ytterstene direct email. Send Template A.,partial,2026-05-10,"Source: Stockholm CE kran/tipp research. CEO Joachim Ytterstene identified. haninge-akeri.se. info@haninge-akeri.se + 08-504-102-60."
Transportia AB,not_found,malardalen,Nykvarn,small,A,ekipage;fjarrtransport,yes,not_found,CE,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,"CE ekipage/fjärr. Nykvarn (Södermanland) — accessible from Stockholm. Limited research.",40,52,Find via allabolag.se.,Look up allabolag.se for contact,partial,2026-05-10,Source: CE job search. CE Nykvarn. Limited info.
LL Miljö AB,not_found,stockholm,Stockholm,small,A,avfall,yes,not_found,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,unknown,none,none_found,low,Recycling/avfall C driver. Stockholm. Limited web presence.,38,52,Find via allabolag.se.,Look up allabolag.se for contact,partial,2026-05-10,Source: Stockholm C driver avfall job search.
Transportservice Norrort AB,https://transportservice.nu,stockholm,Åkersberga,small,A,distribution;fjarrtransport,yes,https://transportservice.nu,C;CE,yes,not_found,single_ad,not_found,08-591-130-30,not_found,not_found,transport_manager,none,none_found,low,"C/CE + YKB. 12 drivers, 11 trucks. ADR certified. Website + phone confirmed. No email found yet.",75,72,Call 08-591-130-30 or find email via website contact page.,Fetch transportservice.nu contact page for email and DM name,partial,2026-05-10,"Source: Stockholm CE/C + YKB research. 12 drivers, 11 trucks, ADR. Åkersberga. Phone confirmed."
NBI Åkeri AB,https://nbiakeri.se,stockholm,Upplands Väsby,small,A,tipp;schakt_bygg,yes,https://vakanser.se/jobb/c-korkort+4/,C,not_found,not_found,single_ad,not_found,076-309 82 96,not_found,not_found,owner,none,none_found,low,"C tipper. Website + phone confirmed. Upplands Väsby north Stockholm.",65,65,Call 076-309 82 96. Find email via nbiakeri.se.,Fetch nbiakeri.se for email and DM name,partial,2026-05-10,Source: Indeed Stockholm C driver + allabolag.se. nbiakeri.se + 076-309 82 96. Upplands Väsby.
Diamond Express Åkeri AB,not_found,stockholm,Huddinge,small,A,distribution,yes,https://se.indeed.com/q-%C3%85keri-l-stockholms-l%C3%A4n-jobb.html,C;CE,not_found,not_found,single_ad,not_found,070-716 18 11,not_found,Charles Onuora,CEO,none,none_found,low,"9 employees. CEO Charles Onuora. Phone found. No website. Since 2007. C + CE Huddinge distribution.",68,68,Call CEO Charles Onuora at 070-716 18 11.,Call 070-716 18 11 to confirm current driver need and introduce pilot,partial,2026-05-10,"Source: Indeed Stockholm county åkeri jobs. allabolag.se: CEO Charles Onuora, 9 employees, no website. Huddinge."
Ahréns Åkeri AB,https://ahrens-transport.se,stockholm,Södertälje,medium,B,fjarrtransport;distribution,yes,https://www.jobbet.se/pagaende-rekryteringar/,CE,not_found,not_found,single_ad,traffic@ahrensakeri.se,+46855087045,https://www.linkedin.com/company/ahr%C3%A9ns-%C3%A5keri-ab,not_found,transport_manager,none,none_found,medium,"70+ trucks. International routes. Fair Transport certified. Email + phone confirmed. May have structured HR — no formal procurement portal found.",55,62,Email traffic@ahrensakeri.se. Find transport manager via LinkedIn.,Find transport manager name on LinkedIn. Send targeted email.,partial,2026-05-10,"Source: Stockholm åkeri research. ahrens-transport.se. 70+ trucks, CE fjärr. traffic@ahrensakeri.se."
Sjölunds Transport AB,not_found,stockholm,Ekerö,small,A,ekipage;fjarrtransport,yes,https://socialrecruiting.jobtip.se/ar-du-var-nasta-duktiga-chauffor-eller-kanner-du-nagon-som-passar-ina4,CE,not_found,not_found,single_ad,not_found,070-751 75 24,not_found,not_found,owner,none,none_found,low,"CE ekipage. Ekerö west Stockholm. Phone found. No website or email. Social recruiting via jobtip.",58,60,Call 070-751 75 24.,Call directly to gauge pilot interest,partial,2026-05-10,Source: Stockholm CE search + hitta.se. CE Ekerö. Phone: 070-751 75 24.
Enskede Bilexpress AB,https://enskedebilexpress.se,stockholm,Norsborg,medium,B,distribution,yes,https://se.linkedin.com/jobs/view/ce-chauff%C3%B6r-till-enskede-bilexpress-at-tillv%C3%A4xt-botkyrka-ab-3831686557,CE,yes,yes,multiple_ads,info@enskedebilexpress.se,08-771 20 00,not_found,not_found,transport_manager,none,none_found,medium,"CE + YKB + förarkort on LinkedIn ads. Fair Transport certified. Distribution network (OnRoad). Founded 1962. Multiple LinkedIn ads. May have HR structure.",65,70,Email info@enskedebilexpress.se. Find transport manager name. Reference CE+YKB+förarkort ads.,Find transport manager name via LinkedIn. Send inquiry email.,partial,2026-05-10,Source: LinkedIn CE ads. CE + YKB + förarkort confirmed. Fair Transport certified. enskedebilexpress.se. Founded 1962.
Söder transport & schakt AB,not_found,stockholm,Södertälje,small,A,kran;schakt_bygg,yes,https://jobbland.se/jobb/kranbilschauffor-sasrb-20199617,C,yes,not_found,single_ad,not_found,076-235 47 20,not_found,not_found,owner,none,none_found,low,"C + YKB kranbil/lastväxlare. Södertälje. Phone found. No email or website.",60,62,Call 076-235 47 20.,Call directly to gauge current driver need,partial,2026-05-10,Source: Jobbland.se kranschaufför ad. C + YKB. Södertälje. 076-235 47 20.
BST Berges Schakt o Transport AB,https://bst-ab.se,stockholm,Södertälje,small,A,schakt_bygg;kran,yes,not_found,CE,not_found,not_found,single_ad,info@bst-ab.se,08-55094025,not_found,not_found,VD,none,none_found,low,"Website + email + main phone + VD mobile (070 754 16 92) confirmed. Södertälje. Instagram active. Office hours M-F.",72,70,Email info@bst-ab.se or call VD at 070 754 16 92.,Find VD name. Email or call to introduce pilot.,partial,2026-05-10,"Source: bst-ab.se web research. info@bst-ab.se. 08-55094025. VD mobile: 070 754 16 92."
Bellmans Åkeri & Entreprenad AB,https://bellmans.se,stockholm,Saltsjö-Boo,large,C,schakt_bygg;kran,yes,https://bellmans.se,CE,not_found,not_found,single_ad,faktura@bellmans.se,not_found,not_found,Patrik Sandahl,manager,none,none_found,medium,"~200 trucks. Large schakt/kran operator. Bellman Group structure. Patrik Sandahl contact identified. Medium barrier — large fleet but no formal procurement portal found.",50,55,Email Patrik Sandahl at patrik.sandahl@bellmangroup.se. Approach as peak-demand driver pool.,Email Patrik Sandahl with CE+YKB shortlist pilot offer,partial,2026-05-10,"Source: bellmans.se research. ~200 trucks Greater Stockholm + Mälardalen. Patrik Sandahl identified. faktura@ is billing — need direct contact."
FENU Transport AB,not_found,stockholm,Haninge,small,A,schakt_bygg;distribution,yes,https://se.linkedin.com/jobs/view/chauff%C3%B6r-med-c-k%C3%B6rkort-och-ykb-s%C3%B6kes-at-fenu-transport-ab-2914879436,C,yes,not_found,single_ad,not_found,not_found,https://se.linkedin.com/jobs/view/chauff%C3%B6r-med-c-k%C3%B6rkort-och-ykb-s%C3%B6kes-at-fenu-transport-ab-2914879436,not_found,owner,none,none_found,low,C + YKB. Haninge construction. No website or direct contact found. LinkedIn only.,45,58,Find via allabolag.se for owner contact.,Look up allabolag.se for FENU Transport AB phone and email,partial,2026-05-10,Source: LinkedIn job listing. C + YKB. Construction. Haninge.
Thermobud AB (DGBN Holding AB),https://thermobud.se,stockholm,Gustavsberg,small,A/E,kylfrys;livsmedelskyla,yes,https://vakanser.se/jobb/distributionsforare+till+familjeagt+kyl-+och+frysakeri/,C;CE,yes,not_found,multiple_ads,info@thermobud.se,08-571 426 00,not_found,not_found,owner,none,none_found,low,"Family-owned kylfrys åkeri. 3 trucks + 4 light vans. Stor-Stockholm + Mälardalen. Multiple C and extrajobb ads. Email + phone confirmed. YKB mentioned.",80,78,Email info@thermobud.se. Owner likely DM. Reference C+CE kylfrys recurring need.,Find owner name via thermobud.se. Send Template A.,partial,2026-05-10,"Source: Vakanser.se kylfrys ad. Family åkeri 3 lastbilar + 4 budar. Stor-Stockholm + Mälardalen. Multiple ads. info@thermobud.se + 08-571 426 00."
Gustaf Gustafsson Åkeri AB,https://www.ggakeri.com,malardalen,unknown,small,A,kran;distribution,not_found,not_found,CE,not_found,not_found,no_visible_ads,order@ggakeri.com,+46 262 54 666,not_found,not_found,owner,none,none_found,low,"Family åkeri since 1932. Express + kran transport. 3rd/4th generation. Email + phone confirmed. Location outside Stockholm — lower regional fit. No current ads.",50,50,Email order@ggakeri.com as introduction. Confirm if Stockholm operations exist.,Confirm city/location. If Stockholm-active approach with pilot offer.,partial,2026-05-10,"Source: ggakeri.com. Since 1932, 3rd/4th generation. Express + kran. order@ggakeri.com. Phone +46 262 54 666."
Alexis Bud & Transport AB,not_found,stockholm,Tumba,small,A,schakt_bygg;distribution,yes,https://vakanser.se/jobb/lastbilschauffor+1885/,C,yes,not_found,multiple_ads,alexis.transport@hotmail.com,073-980 37 32,not_found,Josef Markus,CEO,none,none_found,low,"C + YKB. CEO Josef Markus identified. Email + phone confirmed. Tumba/Botkyrka construction. Multiple ads on vakanser.se. Direct contact available.",80,75,Email or call Josef Markus directly. Reference C+YKB construction distribution ads.,Email Josef Markus via alexis.transport@hotmail.com,partial,2026-05-10,"Source: Vakanser.se C driver construction. CEO Josef Markus from allabolag.se. alexis.transport@hotmail.com + 073-980 37 32."
Enköpings Åkeri AB,https://www.enkopingsakeri.se,malardalen,Grillby,small,A,distribution;fjarrtransport,yes,https://www.jobbet.se/pagaende-rekryteringar/enkopings-akeri-ab/intresseanmalan-chauffor/cjncwuln00lrw0126isxws6dx,C;CE,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,owner,none,none_found,medium,"ISO 9001/14001/39001 certified. Schenker subcontractor. Family-owned. Enköping area. Structured ISO processes suggest medium barrier.",50,55,Contact via website. Approach as driver sourcing supplement to Schenker volumes.,Fetch enkopingsakeri.se contact page for email and phone,partial,2026-05-10,Source: Web research. Schenker subcontractor. ISO certified. Grillby near Enköping. Always recruiting.
Åke Wibergs Åkeri AB,not_found,stockholm,Arlandastad,small,A,distribution,not_found,not_found,CE,not_found,not_found,no_visible_ads,not_found,08-590 803 14,not_found,not_found,owner,none,none_found,low,"Since 1987. Arlandastad (Upplands Väsby area). No website. Phone only. No current ads visible.",45,48,Call 08-590 803 14 to introduce.,Call to introduce and gauge interest,partial,2026-05-10,Source: Allabolag/Hitta.se. Since 1987. Arlandastad. 08-590 803 14. No website found.
Carrier Transport AB,https://carrier.se,stockholm,Johanneshov,medium,B,distribution;budtransport,yes,not_found,C,not_found,not_found,single_ad,bud@carrier.se,08-685 00 80,not_found,not_found,transport_manager,none,none_found,medium,"148 employees (2023). Distribution + bud + logistics. Website + phone + email confirmed. Founded 1983. Likely has some HR structure.",55,58,Email bud@carrier.se. Find transport manager. Position as driver pool access for peak.,Find transport manager name via LinkedIn or website.,partial,2026-05-10,"Source: carrier.se research. 148 employees. Johanneshov. bud@carrier.se. 08-685 00 80."
Kjell Grenholm Åkeri AB,https://grenholms-akeri.se,norrland,Skellefteå,small,A,distribution;fjarrtransport,yes,https://grenholms-akeri.se/jobba-hos-oss/,CE,yes,not_found,single_ad,info@grenholms-akeri.se,0910-58 01 55,not_found,not_found,transport_manager,none,none_found,low,"CE + YKB. Email + phone confirmed. Depots in Skellefteå + Luleå + Sundsvall + Hudiksvall. Well outside Stockholm — low regional fit. Norrland benchmark.",35,38,Low priority for Stockholm pilot. Benchmark for Norrland expansion.,Deprioritize for Stockholm phase. Tag for Norrland expansion research.,complete,2026-05-10,"Source: grenholms-akeri.se. CE + YKB. Skellefteå + Norrland depots. info@grenholms-akeri.se. 0910-58 01 55."
Rekryteringsgruppen AB,https://www.rekryteringsgruppen.com,stockholm,Stockholm,small,agency,distribution;kran;avfall,yes,https://rekryteringsgruppen.teamtailor.com/jobs/7117787-ce-chauffor-sodra-stockholm,C;CE,not_found,not_found,multiple_ads,not_found,08-15 75 75,not_found,not_found,operations_manager,none,none_found,medium,"Agency track. Since 2001. Auktoriserat bemanningsföretag. C/CE/kran/avfall. 90-min response benchmark. Approach as driver pool supplier not competitor.",60,72,Contact as driver pool supplier: pre-qualified CE+YKB profiles for client shortlists.,Find operations manager via LinkedIn. Call 08-15 75 75 to introduce agency supply track.,partial,2026-05-10,"Source: rekryteringsgruppen.com competitive research. Since 2001. C/CE/kran/avfall. 08-15 75 75. Fastest market response 90 min. Agency track only."
Submit AB,https://www.submitbemanning.se,stockholm,Stockholm,small,agency,distribution;fjarrtransport,yes,https://www.submitbemanning.se/tjanster/transport,C;CE,not_found,not_found,multiple_ads,order@submitbemanning.se,not_found,not_found,not_found,operations_manager,none,none_found,medium,"Transport staffing agency. Email confirmed. Agency track — approach as driver profile supplier not competitor.",58,68,"Email order@submitbemanning.se. Position as driver profile supplier: pre-qualified CE+YKB drivers you can place directly.",Email order@submitbemanning.se to introduce agency supply track,partial,2026-05-10,Source: submitbemanning.se research. Transport staffing. order@submitbemanning.se. Agency partner track per framework Section 9.
Simplex Bemanning AB,https://simplexbemanning.se,stockholm,Stockholm,small,agency,distribution;kylfrys;ekipage,yes,https://jobb.simplexbemanning.se/jobs/7610709-lastbilschaufforer-c-ce-dag-eller-natt-storstockholm,C;CE,not_found,not_found,multiple_ads,not_found,not_found,https://www.linkedin.com/company/simplex-bemanning-ab,not_found,operations_manager,none,none_found,medium,"Transport staffing agency. C/CE day or night Stockholm. Multiple transport domains. 1300+ driver pool. Agency track — approach as driver profile supplier.",58,72,LinkedIn message to operations director or founder. Position as driver pool supplier not competitor.,Find decision-maker at Simplex. Research client base for Stockholm CE needs.,in_progress,2026-05-10,"Source: simplexbemanning.se + LinkedIn. C/CE Storstockholm. Transport staffing. Previously noted in bemanning-sweden research."
PostNord AB,https://www.postnord.se,stockholm,Stockholm,large,F,distribution;budtransport;fjarrtransport,yes,https://www.postnord.se/om-oss/karriar,CE;C,yes,yes,single_ad,not_found,not_found,https://www.linkedin.com/company/postnord/,not_identified,central_procurement,https://corporate.postnord.com/en/sustainability/suppliers,none_found,enterprise_only,"State-owned. 15000+ employees. Formal supplier onboarding: credit check + DPA + insurance + code of conduct. No direct transport manager access. Research benchmark only.",8,15,No outreach. Research depot-level hiring discretion.,Research if regional depot managers have local hiring authority.,complete,2026-05-10,"Source: postnord.se/om-oss/leverantorer. Formal supplier onboarding. LinkedIn 15000+ employees. Enterprise benchmark."
DSV Åkeri AB,https://www.dsv.com/en/se,stockholm,Spånga,large,F,fjarrtransport;distribution,yes,not_found,CE,not_found,not_found,single_ad,not_found,not_found,https://www.linkedin.com/company/dsv-global-transport-and-logistics/,not_identified,central_procurement,none_found,none_found,enterprise_only,"Part of global DSV group. Enterprise-scale logistics. CE fjärr Spånga depot. No local hiring authority. Research benchmark only.",8,12,Research benchmark only. No outreach.,Enterprise benchmark. No action.,complete,2026-05-10,Source: Stockholm CE job search. DSV global group. Spånga depot. Enterprise benchmark.
DB Schenker / Schenker Åkeri AB,https://www.dbschenker.com/se-sv,stockholm,Stockholm,large,F,distribution;fjarrtransport;budtransport,yes,https://www.dbschenker.com/se-sv/karriar/chaufforer,CE;C,yes,yes,multiple_ads,not_found,not_found,https://www.linkedin.com/company/db-schenker/,not_identified,central_procurement,https://www.dbschenker.com/se-sv/om-db-schenker/leverantor,none_found,enterprise_only,"Global logistics group. CE + YKB + förarkort on career page. Subcontractor åkerier (e.g. Enköpings Åkeri) are better SME targets.",10,10,Target subcontractor åkerier not Schenker directly.,Enterprise benchmark. No outreach. Track subcontractors instead.,complete,2026-05-10,Source: dbschenker.com career page. CE/C + YKB + förarkort confirmed. Enterprise benchmark.
Arla Foods AB,https://www.arla.se,stockholm,Kallhäll,large,F,kylfrys;livsmedelskyla;distribution,yes,not_found,C;CE,not_found,not_found,single_ad,not_found,not_found,https://www.linkedin.com/company/arla-foods/,not_identified,central_procurement,none_found,none_found,enterprise_only,"Global dairy group. Kallhäll depot. C/CE summer distribution. Dairy logistics outsourced to subcontractors in practice. Enterprise benchmark.",12,15,Research benchmark. Look for subcontract transport companies serving Arla.,Enterprise benchmark. Identify subcontract transport operators.,complete,2026-05-10,Source: Stockholm C distribution summer research. Arla Kallhäll depot. Enterprise benchmark.
DHL Freight (Sweden) AB,https://www.dhl.com/se-sv/home.html,stockholm,Stockholm,large,F,fjarrtransport;distribution,yes,https://se.linkedin.com/jobs/view/dhl-freight-s%C3%B6ker-ce-chauff%C3%B6r-at-dhl-freight-sweden-ab-3607360746,CE,not_found,not_found,single_ad,not_found,not_found,https://www.linkedin.com/company/dhl-freight/,not_identified,central_procurement,none_found,none_found,enterprise_only,"Global logistics group. CE fjärr visible on LinkedIn. Enterprise-scale. Formal supplier onboarding required. Benchmark only.",8,10,Enterprise benchmark only. No outreach.,Enterprise benchmark. No action.,complete,2026-05-10,Source: LinkedIn DHL Freight CE ad. Global group. Enterprise benchmark.
Bring AB,https://www.bring.se,stockholm,Stockholm,large,F,distribution;fjarrtransport;budtransport,yes,not_found,CE;C,not_found,not_found,single_ad,not_found,not_found,https://www.linkedin.com/company/bring/,not_identified,central_procurement,none_found,none_found,enterprise_only,"Norwegian Post/Posten group. Distribution across Sweden. Formal procurement. Enterprise benchmark only.",8,10,Enterprise benchmark only. No outreach.,Enterprise benchmark. No action.,complete,2026-05-10,Source: Enterprise benchmarking. Bring/Posten group. Formal supplier process. Benchmark per framework.
Storstockholms Transport AB,not_found,stockholm,Haninge,small,A,distribution,not_found,not_found,not_found,not_found,not_found,no_visible_ads,not_found,070-321 05 79,not_found,Bo Henrik Carlsson,chairman,none,none_found,low,"c/o Haninge Åkeri AB address. Chairman Bo Henrik Carlsson identified. Phone found. No current ads. May be holding structure.",42,45,Verify if operational. Contact via Haninge Åkeri connection.,Verify current operational status via allabolag.se.,partial,2026-05-10,Source: Allabolag.se. c/o Haninge Åkeri AB. Chairman Bo Henrik Carlsson. 070-321 05 79. No ads visible.
SRV Återvinning AB,not_found,stockholm,Haninge,medium,B,avfall,yes,not_found,C,not_found,not_found,single_ad,not_found,not_found,not_found,not_found,transport_manager,none_found,none_found,high,"Municipally owned (Huddinge + Haninge + Botkyrka + Salem + Nynäshamn). Municipal procurement rules apply. Not a pilot target.",30,35,Not suitable for pilot — municipal procurement rules apply.,No outreach. Possible future research for public sector track.,complete,2026-05-10,Source: Södertörn area C driver search. Owned by 5 municipalities. Municipal procurement applies.
